competition,season,order,file,guessed_team_name,logo_version_tag,note
UCL,2026-27,01,01-aek-football-club-v2014.png,aek football club,2014,
UCL,2026-27,02,02-Arsenal-FC-v2002.png,Arsenal FC,2002,
UCL,2026-27,03,03-Aston-Villa-Football-Club-v2024.png,Aston Villa Football Club,2024,
UCL,2026-27,04,04-Atletico-Madrid-v2024.png,Atletico Madrid,2024,
UCL,2026-27,05,05-Borussia-Dortmund-v1993.png,Borussia Dortmund,1993,
UCL,2026-27,06,06-FC-Barcelona-v2002.png,FC Barcelona,2002,
UCL,2026-27,07,07-FC-Bayern-Munchen-v2024.png,FC Bayern Munchen,2024,
UCL,2026-27,08,08-fotballklubben-bodglimt-v0000.png,fotballklubben bodglimt,0000,
UCL,2026-27,09,09-club-brugge-koninklijke-voetbalvereniging-v2017.png,club brugge koninklijke voetbalvereniging,2017,
UCL,2026-27,10,10-fenerbahce-spor-kulubu-v2026-comm.png,fenerbahce spor kulubu,2026,comm
UCL,2026-27,11,11-feyenoord-rotterdam-v2024.png,feyenoord rotterdam,2024,
UCL,2026-27,12,12-galatasaray-spor-kulb-v2007.png,galatasaray spor kulb,2007,
UCL,2026-27,13,13-FC-Inter-Milan-v2021.png,FC Inter Milan,2021,
UCL,2026-27,14,14-linzer-athletik-sport-klub-v2023.png,linzer athletik sport klub,2023,
UCL,2026-27,15,15-Racing-Club-de-Lens-v2014.png,Racing Club de Lens,2014,
UCL,2026-27,16,16-LOSC-Lille-v2018.png,LOSC Lille,2018,
UCL,2026-27,17,17-Liverpool-Football-Club-v2024-minor.png,Liverpool Football Club,2024,minor
UCL,2026-27,18,18-Manchester-United-Football-Club-v1998.png,Manchester United Football Club,1998,
UCL,2026-27,19,19-societ-sportiva-calcio-napoli-v2024.png,societ sportiva calcio napoli,2024,
UCL,2026-27,20,20-Paris-Saint-Germain-v2013.png,Paris Saint Germain,2013,
UCL,2026-27,21,21-Futebol-Clube-do-Porto-v2002.png,Futebol Clube do Porto,2002,
UCL,2026-27,22,22-philips-sport-vereniging-v2016.png,philips sport vereniging,2016,
UCL,2026-27,23,23-Real-Betis-v2022.png,Real Betis,2022,
UCL,2026-27,24,24-Real-Madrid-CF-v2002.png,Real Madrid CF,2002,
UCL,2026-27,25,25-associazione-sportiva-roma-v2026.png,associazione sportiva roma,2026,
UCL,2026-27,26,26-sportovy-klub-slovan-bratislava-v0000.png,sportovy klub slovan bratislava,0000,
UCL,2026-27,27,27-sabah-futbol-klubu-v2023.png,sabah futbol klubu,2023,
UCL,2026-27,28,28-football-club-shakhtar-donetsk-v2007.png,football club shakhtar donetsk,2007,
UCL,2026-27,29,29-sportovn-klub-slavia-praha-fotbal-v2022.png,sportovn klub slavia praha fotbal,2022,
UCL,2026-27,30,30-sporting-clube-de-portugal-v2026.png,sporting clube de portugal,2026,
UCL,2026-27,31,31-viking-fotballklubb-v0000.png,viking fotballklubb,0000,
UCL,2026-27,32,32-Villarreal-Club-de-Futbol-v2009.png,Villarreal Club de Futbol,2009,
UCL,2026-27,33,33-Manchester-City-v2016.png,Manchester City,2016,
UCL,2026-27,34,34-Como-1907-v2019.png,Como 1907,2019,
UCL,2026-27,35,35-RB-Leipzig-v2020.png,RB Leipzig,2020,
UCL,2026-27,36,36-VfB-Stuttgart-v2014.png,VfB Stuttgart,2014,
SPL,2026-27,01,01-Al-Ahli-v2025.png,Al Ahli,2025,
SPL,2026-27,02,02-Al-Ettifaq-v2016.png,Al Ettifaq,2016,
SPL,2026-27,03,03-al-fateh-sc-v2022.png,al fateh sc,2022,
SPL,2026-27,04,04-al-fayha-club-v0000.png,al fayha club,0000,
SPL,2026-27,05,05-al-hilal-saudi-v2022.png,al hilal saudi,2022,
SPL,2026-27,06,06-Ittihad-Saudi-Arabian-Club-v2015.png,Ittihad Saudi Arabian Club,2015,
SPL,2026-27,07,07-Al-Khaleej-v2019.png,Al Khaleej,2019,
SPL,2026-27,08,08-al-kholood-club-v2026.png,al kholood club,2026,
SPL,2026-27,09,09-Riyadh-Nassr-v2025.png,Riyadh Nassr,2025,
SPL,2026-27,10,10-Al-Qadsiah-v2024.png,Al Qadsiah,2024,
SPL,2026-27,11,11-Al-Riyadh-v0000.png,Al Riyadh,0000,
SPL,2026-27,12,12-Al-Shabab-v2021.png,Al Shabab,2021,
SPL,2026-27,13,13-Al-Taawoun-v2019.png,Al Taawoun,2019,
SPL,2026-27,14,14-al-hazem-football-club-v0000.png,al hazem football club,0000,
SPL,2026-27,15,15-neom-sports-club-v2023.png,neom sports club,2023,
SPL,2026-27,16,16-abha-football-club-v2023.png,abha football club,2023,
SPL,2026-27,17,17-al-faisaly-saudi-football-club-v2022.png,al faisaly saudi football club,2022,
SPL,2026-27,18,18-diriyah-club-v2025.png,diriyah club,2025,
