filename,official_name,common_name,country,slug
01-royal-sporting-club-anderlecht-v2024.png,Royal Sporting Club Anderlecht,Anderlecht,Belgium,anderlecht
02-alkmaar-zaanstreek-v1986.png,Alkmaar Zaanstreek,AZ Alkmaar,Netherlands,az-alkmaar
03-Sport-Lisboa-e-Benfica-v1999.png,Sport Lisboa e Benfica,Benfica,Portugal,benfica
04-besiktas-jimnastik-kulubu-v2000.png,Beşiktaş Jimnastik Kulübü,Beşiktaş,Türkiye,besiktas
05-AFC-Bournemouth-v2013.png,AFC Bournemouth,Bournemouth,England,bournemouth
06-celje-football-club-v0000.png,NK Celje,Celje,Slovenia,celje
07-the-celtic-football-club-v1995.png,The Celtic Football Club,Celtic,Scotland,celtic
08-Crystal-Palace-Football-Club-v2022.png,Crystal Palace Football Club,Crystal Palace,England,crystal-palace
09-ferencvarosi-torna-club-v2019.png,Ferencvárosi Torna Club,Ferencváros,Hungary,ferencvaros
10-gnk-dinamo-zagreb-v2024.png,GNK Dinamo Zagreb,Dinamo Zagreb,Croatia,dinamo-zagreb
11-TSG-Hoffenheim-v2014.png,TSG 1899 Hoffenheim,Hoffenheim,Germany,hoffenheim
12-hapoel-beer-sheva-football-club-v2016.png,Hapoel Beer Sheva FC,Hapoel Beer Sheva,Israel,hapoel-beer-sheva
13-RC-Celta-de-Vigo-v2010.png,RC Celta de Vigo,Celta Vigo,Spain,celta-vigo
14-Juventus-FC-v2017.png,Juventus FC,Juventus,Italy,juventus
15-kolejowy-klub-sportowy-lech-poznan-sa-v2006.png,KKS Lech Poznań SA,Lech Poznań,Poland,lech-poznan
16-profesionalen-futbolen-klub-levski-v2026.png,PFC Levski Sofia,Levski Sofia,Bulgaria,levski-sofia
17-lillestrm-sportsklubb-v0000.png,Lillestrøm SK,Lillestrøm,Norway,lillestrom
18-Olympique-lyonnais-v2022.png,Olympique Lyonnais,Lyon,France,lyon
19-olympique-de-marseille-v2026.png,Olympique de Marseille,Marseille,France,marseille
20-nijmegen-eendracht-combinatie-v2001.png,Nijmegen Eendracht Combinatie,NEC,Netherlands,nec-nijmegen
21-ofi-football-club-v2020.png,OFI Crete FC,OFI Crete,Greece,ofi-crete
22-olympiacos-football-club-v2003.png,Olympiacos FC,Olympiacos,Greece,olympiacos
23-Real-Sociedad-de-Futbol-v1997.png,Real Sociedad de Fútbol,Real Sociedad,Spain,real-sociedad
24-Stade-Rennais-v2003.png,Stade Rennais FC,Rennes,France,rennes
25-FC-Salzburg-v2022-minor.png,FC Red Bull Salzburg,Salzburg,Austria,salzburg
26-athletic-club-sparta-praha-v2021.png,AC Sparta Praha,Sparta Praha,Czechia,sparta-praha
27-sportklub-sturm-graz-v2013.png,SK Sturm Graz,Sturm Graz,Austria,sturm-graz
28-Sunderland-AFC-v1997.png,Sunderland AFC,Sunderland,England,sunderland
29-royale-union-saint-gilloise-v2015.png,Royale Union Saint-Gilloise,Union SG,Belgium,union-saint-gilloise
30-football-club-viktoria-plzen-v1999.png,FC Viktoria Plzeň,Viktoria Plzeň,Czechia,viktoria-plzen
31-football-club-ararat-armenia-v0000.png,FC Ararat-Armenia,Ararat-Armenia,Armenia,ararat-armenia
32-jagiellonia-biaystok-sportowa-spoka-akcyjna-v2024.png,Jagiellonia Białystok SSA,Jagiellonia,Poland,jagiellonia-bialystok
33-Bayer-04-Leverkusen-v2006.png,Bayer 04 Leverkusen,Leverkusen,Germany,leverkusen
34-AC-Milan-v2009.png,AC Milan,Milan,Italy,milan
35-athletic-club-omonoia-nicosia-v0000.png,AC Omonia Nicosia,Omonia,Cyprus,omonia
36-sport-clube-uniao-torreense-v0000.png,Sport Clube União Torreense,Torreense,Portugal,torreense
