filename,official_name,common_name,country,slug
01-Al-Ahli-v2025.png,Al-Ahli Saudi Football Club,Al-Ahli,Saudi Arabia,al-ahli
02-Al-Ettifaq-v2016.png,Al-Ettifaq Football Club,Al-Ettifaq,Saudi Arabia,al-ettifaq
03-al-fateh-sc-v2022.png,Al-Fateh Sports Club,Al-Fateh,Saudi Arabia,al-fateh
04-al-fayha-club-v0000.png,Al-Fayha Club,Al-Fayha,Saudi Arabia,al-fayha
05-al-hilal-saudi-v2022.png,Al-Hilal Saudi Football Club,Al-Hilal,Saudi Arabia,al-hilal
06-Ittihad-Saudi-Arabian-Club-v2015.png,Ittihad Saudi Arabian Club,Al-Ittihad,Saudi Arabia,al-ittihad
07-Al-Khaleej-v2019.png,Al-Khaleej Club,Al-Khaleej,Saudi Arabia,al-khaleej
08-al-kholood-club-v2026.png,Al-Kholood Club,Al-Kholood,Saudi Arabia,al-kholood
09-Riyadh-Nassr-v2025.png,Al-Nassr FC,Al-Nassr,Saudi Arabia,al-nassr
10-Al-Qadsiah-v2024.png,Al-Qadsiah FC,Al-Qadsiah,Saudi Arabia,al-qadsiah
11-Al-Riyadh-v0000.png,Al-Riyadh SC,Al-Riyadh,Saudi Arabia,al-riyadh
12-Al-Shabab-v2021.png,Al-Shabab FC,Al-Shabab,Saudi Arabia,al-shabab
13-Al-Taawoun-v2019.png,Al-Taawoun FC,Al-Taawoun,Saudi Arabia,al-taawoun
14-al-hazem-football-club-v0000.png,Al-Hazem Football Club,Al-Hazem,Saudi Arabia,al-hazem
15-neom-sports-club-v2023.png,Neom Sports Club,Neom,Saudi Arabia,neom
16-abha-football-club-v2023.png,Abha Football Club,Abha,Saudi Arabia,abha
17-al-faisaly-saudi-football-club-v2022.png,Al-Faisaly Saudi Football Club,Al-Faisaly,Saudi Arabia,al-faisaly
18-diriyah-club-v2025.png,Diriyah Club,Diriyah,Saudi Arabia,diriyah
