filename,official_name,common_name,country,slug
01-aek-football-club-v2014.png,AEK Football Club,AEK Athens,Greece,aek-athens
02-Arsenal-FC-v2002.png,Arsenal FC,Arsenal,England,arsenal
03-Aston-Villa-Football-Club-v2024.png,Aston Villa Football Club,Aston Villa,England,aston-villa
04-Atletico-Madrid-v2024.png,Club Atlético de Madrid,Atlético Madrid,Spain,atletico-madrid
05-Borussia-Dortmund-v1993.png,Borussia Dortmund,Dortmund,Germany,borussia-dortmund
06-FC-Barcelona-v2002.png,Futbol Club Barcelona,Barcelona,Spain,barcelona
07-FC-Bayern-Munchen-v2024.png,FC Bayern München,Bayern Munich,Germany,bayern-munchen
08-fotballklubben-bodglimt-v0000.png,Fotballklubben Bodø/Glimt,Bodø/Glimt,Norway,bodo-glimt
09-club-brugge-koninklijke-voetbalvereniging-v2017.png,Club Brugge KV,Club Brugge,Belgium,club-brugge
10-fenerbahce-spor-kulubu-v2026-comm.png,Fenerbahçe Spor Kulübü,Fenerbahçe,Türkiye,fenerbahce
11-feyenoord-rotterdam-v2024.png,Feyenoord Rotterdam,Feyenoord,Netherlands,feyenoord
12-galatasaray-spor-kulb-v2007.png,Galatasaray SK,Galatasaray,Türkiye,galatasaray
13-FC-Inter-Milan-v2021.png,FC Internazionale Milano,Inter Milan,Italy,inter-milan
14-linzer-athletik-sport-klub-v2023.png,Linzer ASK,LASK,Austria,lask
15-Racing-Club-de-Lens-v2014.png,Racing Club de Lens,Lens,France,lens
16-LOSC-Lille-v2018.png,LOSC Lille,Lille,France,lille
17-Liverpool-Football-Club-v2024-minor.png,Liverpool Football Club,Liverpool,England,liverpool
18-Manchester-United-Football-Club-v1998.png,Manchester United Football Club,Manchester United,England,manchester-united
19-societ-sportiva-calcio-napoli-v2024.png,Società Sportiva Calcio Napoli,Napoli,Italy,napoli
20-Paris-Saint-Germain-v2013.png,Paris Saint-Germain,PSG,France,psg
21-Futebol-Clube-do-Porto-v2002.png,Futebol Clube do Porto,Porto,Portugal,porto
22-philips-sport-vereniging-v2016.png,Philips Sport Vereniging,PSV Eindhoven,Netherlands,psv-eindhoven
23-Real-Betis-v2022.png,Real Betis Balompié,Real Betis,Spain,real-betis
24-Real-Madrid-CF-v2002.png,Real Madrid CF,Real Madrid,Spain,real-madrid
25-associazione-sportiva-roma-v2026.png,Associazione Sportiva Roma,Roma,Italy,roma
26-sportovy-klub-slovan-bratislava-v0000.png,ŠK Slovan Bratislava,Slovan Bratislava,Slovakia,slovan-bratislava
27-sabah-futbol-klubu-v2023.png,Sabah Futbol Klubu,Sabah FK,Azerbaijan,sabah
28-football-club-shakhtar-donetsk-v2007.png,FC Shakhtar Donetsk,Shakhtar Donetsk,Ukraine,shakhtar-donetsk
29-sportovn-klub-slavia-praha-fotbal-v2022.png,SK Slavia Praha,Slavia Praha,Czechia,slavia-praha
30-sporting-clube-de-portugal-v2026.png,Sporting Clube de Portugal,Sporting CP,Portugal,sporting-cp
31-viking-fotballklubb-v0000.png,Viking Fotballklubb,Viking FK,Norway,viking-fk
32-Villarreal-Club-de-Futbol-v2009.png,Villarreal Club de Fútbol,Villarreal,Spain,villarreal
33-Manchester-City-v2016.png,Manchester City FC,Manchester City,England,manchester-city
34-Como-1907-v2019.png,Como 1907,Como,Italy,como-1907
35-RB-Leipzig-v2020.png,RasenBallsport Leipzig,RB Leipzig,Germany,rb-leipzig
36-VfB-Stuttgart-v2014.png,VfB Stuttgart,Stuttgart,Germany,vfb-stuttgart
